onset	duration	trial_type	item	key	RT
[0]	2	self	0	1	1.691
[3]	2	other	0	3	2.204
[6]	2	self	0	1	2.207
[9]	2	other	0	2	2.1
[12]	2	other	0	2	1.627
[15]	2	self	0	3	2.766
[18]	2	other	0	1	2.065
[21]	2	self	0	1	2.049
[24]	2	self	0	1	2.138
[27]	2	other	0	2	2.965
[30]	2	other	0	1	2.762
[33]	2	other	0	1	2.697
[36]	2	other	0	1	1.7
[39]	2	other	0	0	0.0
[42]	2	self	0	1	2.274
[45]	2	self	0	2	2.803
[48]	2	other	0	3	2.677
[51]	2	self	0	2	1.741
[55]	2	self	0	2	1.628
[58]	2	self	0	1	2.389
[61]	2	other	0	1	1.684
[64]	2	self	0	1	3.319
[67]	2	other	0	1	2.147
[70]	2	self	0	3	1.953
[73]	2	self	0	1	2.708
[76]	2	other	0	2	2.69
[79]	2	other	0	1	1.696
[82]	2	self	0	2	1.697
[85]	2	self	0	1	2.821
[88]	2	self	0	3	2.293
[91]	2	self	0	2	3.205
[94]	2	other	0	2	1.735
[97]	2	other	0	1	3.193
[100]	2	self	0	2	2.264
[103]	2	other	0	1	1.876
[106]	2	other	0	1	2.829
[109]	2	self	0	2	2.361
[112]	2	self	0	3	2.028
[115]	2	other	0	1	3.015
[118]	2	self	0	1	2.75
