onset	duration	trial_type	item	key	RT
[0]	2	self	0	3	2.088
[3]	2	other	0	3	1.793
[6]	2	self	0	2	1.701
[9]	2	other	0	3	2.469
[12]	2	other	0	2	2.616
[15]	2	self	0	3	1.709
[18]	2	other	0	3	2.734
[21]	2	other	0	2	1.685
[24]	2	self	0	2	2.131
[27]	2	self	0	2	2.79
[30]	2	self	0	2	1.79
[33]	2	self	0	2	3.247
[36]	2	other	0	2	1.842
[39]	2	self	0	1	2.355
[42]	2	self	0	2	1.676
[45]	2	other	0	3	2.327
[48]	2	other	0	3	1.979
[51]	2	other	0	2	2.566
[55]	2	self	0	3	1.908
[58]	2	self	0	3	2.1
[61]	2	self	0	2	2.72
[64]	2	self	0	2	1.266
[67]	2	other	0	3	1.549
[70]	2	other	0	3	2.766
[73]	2	other	0	2	1.711
[76]	2	other	0	2	3.062
[79]	2	self	0	3	1.456
[82]	2	self	0	1	1.406
[85]	2	self	0	2	2.62
[88]	2	self	0	1	1.816
[91]	2	other	0	2	3.257
[94]	2	self	0	2	2.324
[97]	2	self	0	2	1.902
[100]	2	other	0	2	2.419
[103]	2	self	0	1	2.361
[106]	2	other	0	3	2.011
[109]	2	other	0	3	1.498
[112]	2	other	0	3	2.094
[115]	2	self	0	2	1.73
[118]	2	other	0	2	2.374
