onset	duration	trial_type	item	key	RT
[0]	2	self	0	2	2.409
[3]	2	self	0	2	1.905
[6]	2	self	0	3	1.782
[9]	2	self	0	2	1.731
[12]	2	self	0	2	2.425
[15]	2	other	0	3	3.076
[18]	2	self	0	3	2.452
[21]	2	self	0	2	2.927
[24]	2	other	0	2	3.191
[27]	2	other	0	3	2.171
[30]	2	other	0	2	2.752
[33]	2	other	0	3	2.382
[36]	2	self	0	1	2.364
[39]	2	other	0	2	2.388
[42]	2	other	0	3	3.959
[45]	2	self	0	3	1.626
[48]	2	self	0	3	2.807
[51]	2	self	0	3	1.86
[54]	2	other	0	3	2.777
[58]	2	other	0	2	1.863
[61]	2	other	0	2	1.752
[64]	2	other	0	1	3.084
[67]	2	self	0	2	2.568
[70]	2	self	0	3	1.442
[73]	2	self	0	3	3.939
[76]	2	self	0	2	2.066
[79]	2	other	0	3	1.434
[82]	2	other	0	2	2.074
[85]	2	other	0	2	3.004
[88]	2	other	0	2	2.425
[91]	2	self	0	2	1.75
[94]	2	other	0	1	2.539
[97]	2	other	0	4	2.013
[100]	2	self	0	2	2.862
[103]	2	other	0	2	3.139
[106]	2	self	0	2	1.589
[109]	2	self	0	2	1.858
[112]	2	self	0	3	2.051
[115]	2	other	0	3	1.83
[118]	2	self	0	2	1.496
