onset	duration	trial_type	item	key	RT
[0]	2	self	0	1	1.927
[3]	2	self	0	4	2.625
[6]	2	other	0	4	2.128
[9]	2	self	0	2	2.327
[12]	2	other	0	2	3.741
[15]	2	self	0	4	1.974
[18]	2	other	0	4	2.782
[21]	2	self	0	4	2.421
[24]	2	other	0	4	1.746
[27]	2	other	0	3	2.098
[30]	2	self	0	3	3.136
[33]	2	other	0	2	2.472
[36]	2	self	0	4	2.022
[39]	2	other	0	1	3.12
[42]	2	other	0	4	3.261
[45]	2	other	0	2	2.766
[48]	2	self	0	1	2.151
[51]	2	self	0	1	3.519
[54]	2	self	0	4	2.253
[58]	2	self	0	1	2.679
[61]	2	self	0	1	3.284
[64]	2	self	0	4	3.206
[67]	2	other	0	4	3.287
[70]	2	self	0	1	1.691
[73]	2	other	0	2	1.949
[76]	2	other	0	2	3.479
[79]	2	other	0	2	1.73
[82]	2	self	0	1	2.135
[85]	2	self	0	1	2.2
[88]	2	other	0	4	3.167
[91]	2	other	0	3	3.796
[94]	2	other	0	1	2.545
[97]	2	self	0	4	2.97
[100]	2	self	0	1	1.599
[103]	2	self	0	2	3.952
[106]	2	self	0	1	2.124
[109]	2	other	0	2	2.574
[112]	2	self	0	4	3.097
[115]	2	other	0	3	3.201
[118]	2	other	0	1	2.756
