onset	duration	trial_type	item	key	RT
[0]	2	self	0	1	1.652
[3]	2	self	0	2	2.057
[6]	2	self	0	3	1.414
[9]	2	self	0	3	1.477
[12]	2	self	0	2	1.138
[15]	2	self	0	2	2.161
[18]	2	other	0	1	1.402
[21]	2	other	0	2	1.523
[24]	2	other	0	1	1.683
[27]	2	other	0	3	1.382
[30]	2	other	0	3	1.564
[33]	2	self	0	1	1.32
[36]	2	other	0	3	1.552
[39]	2	self	0	3	1.129
[42]	2	other	0	1	2.364
[45]	2	other	0	1	2.018
[48]	2	self	0	3	1.4
[51]	2	self	0	2	3.318
[55]	2	self	0	1	1.294
[58]	2	other	0	4	1.397
[61]	2	other	0	1	1.283
[64]	2	self	0	3	1.109
[67]	2	self	0	1	1.973
[70]	2	other	0	4	1.852
[73]	2	self	0	1	1.02
[76]	2	other	0	2	1.645
[79]	2	other	0	2	2.22
[82]	2	self	0	1	1.104
[85]	2	self	0	1	1.181
[88]	2	other	0	3	1.343
[91]	2	other	0	1	1.098
[94]	2	self	0	1	0.99
[97]	2	self	0	1	2.072
[100]	2	self	0	3	1.678
[103]	2	other	0	3	1.304
[106]	2	other	0	1	2.346
[109]	2	other	0	1	2.202
[112]	2	self	0	1	1.659
[115]	2	other	0	3	1.362
[118]	2	self	0	1	2.516
