onset	duration	trial_type	item	key	RT
[0]	2	self	0	4	1.735
[3]	2	self	0	4	3.052
[6]	2	self	0	1	1.633
[9]	2	self	0	4	1.987
[12]	2	other	0	1	2.403
[15]	2	self	0	4	1.602
[18]	2	other	0	1	2.503
[21]	2	other	0	4	1.559
[24]	2	self	0	1	1.909
[27]	2	other	0	1	2.515
[30]	2	self	0	1	2.26
[33]	2	other	0	1	1.262
[36]	2	self	0	4	2.305
[39]	2	self	0	1	1.412
[42]	2	self	0	1	1.631
[45]	2	other	0	1	1.506
[48]	2	other	0	1	1.327
[51]	2	self	0	1	2.867
[55]	2	self	0	4	1.957
[58]	2	other	0	1	0.852
[61]	2	self	0	4	1.839
[64]	2	other	0	1	1.918
[67]	2	self	0	1	1.234
[70]	2	other	0	4	2.183
[73]	2	other	0	1	1.339
[76]	2	other	0	1	1.843
[79]	2	other	0	1	1.802
[82]	2	self	0	1	2.562
[85]	2	other	0	1	0.603
[88]	2	self	0	1	1.81
[91]	2	other	0	4	2.548
[94]	2	other	0	1	1.131
[97]	2	self	0	1	1.188
[100]	2	other	0	1	0.964
[103]	2	self	0	1	1.646
[106]	2	other	0	4	1.827
[109]	2	self	0	4	1.378
[112]	2	other	0	1	1.715
[115]	2	self	0	1	1.583
[118]	2	self	0	1	0.358
