onset	duration	trial_type	item	key	RT
[0]	2	self	0	4	2.229
[3]	2	self	0	1	1.78
[6]	2	other	0	1	1.862
[9]	2	other	0	4	1.852
[12]	2	self	0	1	1.709
[15]	2	other	0	1	1.383
[18]	2	self	0	4	1.888
[21]	2	self	0	1	0.913
[24]	2	other	0	1	1.583
[27]	2	self	0	1	0.876
[30]	2	other	0	1	1.141
[33]	2	self	0	4	1.431
[36]	2	other	0	0	0.0
[39]	2	other	0	1	0.785
[42]	2	other	0	4	1.248
[45]	2	self	0	1	1.175
[48]	2	self	0	4	2.923
[51]	2	other	0	4	1.963
[54]	2	other	0	1	1.191
[58]	2	self	0	1	1.123
[61]	2	other	0	1	1.082
[64]	2	self	0	1	1.101
[67]	2	other	0	4	2.174
[70]	2	self	0	1	1.394
[73]	2	self	0	4	1.534
[76]	2	self	0	1	1.019
[79]	2	self	0	1	0.687
[82]	2	other	0	4	1.415
[85]	2	self	0	4	1.346
[88]	2	other	0	1	1.415
[91]	2	self	0	4	0.998
[94]	2	self	0	4	1.036
[97]	2	other	0	1	1.351
[100]	2	self	0	4	1.707
[103]	2	other	0	0	0.0
[106]	2	self	0	1	0.95
[109]	2	other	0	4	2.071
[112]	2	self	0	1	1.05
[115]	2	other	0	0	0.0
[118]	2	other	0	1	0.794
