onset	duration	trial_type	item	key	RT
[0]	2	self	0	1	3.918
[3]	2	self	0	1	1.929
[6]	2	self	0	0	0.0
[9]	2	self	0	1	2.666
[12]	2	self	0	1	2.093
[15]	2	self	0	1	1.748
[18]	2	self	0	1	1.759
[21]	2	other	0	2	2.35
[24]	2	self	0	3	2.647
[27]	2	self	0	3	3.075
[30]	2	other	0	3	3.114
[33]	2	self	0	1	2.979
[36]	2	other	0	2	3.025
[39]	2	other	0	3	2.993
[42]	2	other	0	2	2.543
[45]	2	other	0	3	2.174
[48]	2	self	0	1	1.445
[51]	2	self	0	2	2.628
[54]	2	other	0	1	3.118
[58]	2	other	0	1	3.067
[61]	2	self	0	3	2.493
[64]	2	self	0	2	3.225
[67]	2	other	0	1	2.301
[70]	2	other	0	0	0.0
[73]	2	self	0	3	2.444
[76]	2	self	0	4	1.799
[79]	2	other	0	2	3.822
[82]	2	other	0	1	3.74
[85]	2	other	0	4	2.701
[88]	2	self	0	1	1.621
[91]	2	other	0	2	3.303
[94]	2	other	0	1	1.803
[97]	2	self	0	3	3.683
[100]	2	self	0	3	2.822
[103]	2	other	0	3	3.33
[106]	2	other	0	1	2.133
[109]	2	other	0	1	3.606
[112]	2	other	0	3	1.951
[115]	2	self	0	3	2.955
[118]	2	self	0	3	2.611
