onset	duration	trial_type	item	key	RT
[0]	2	self	0	3	1.862
[3]	2	self	0	2	1.9
[6]	2	self	0	2	1.949
[9]	2	self	0	3	1.424
[12]	2	self	0	3	1.451
[15]	2	other	0	3	1.511
[18]	2	self	0	4	1.507
[21]	2	other	0	3	2.212
[24]	2	self	0	1	2.369
[27]	2	other	0	2	2.826
[30]	2	self	0	1	1.368
[33]	2	other	0	4	1.548
[36]	2	other	0	1	1.895
[39]	2	self	0	3	2.402
[42]	2	self	0	3	2.083
[45]	2	self	0	3	2.482
[48]	2	other	0	2	2.23
[51]	2	self	0	3	1.325
[55]	2	self	0	3	2.608
[58]	2	self	0	1	2.297
[61]	2	self	0	4	3.401
[64]	2	other	0	2	1.944
[67]	2	other	0	3	1.897
[70]	2	other	0	2	2.201
[73]	2	self	0	3	2.805
[76]	2	self	0	3	1.738
[79]	2	self	0	2	2.327
[82]	2	self	0	1	2.054
[85]	2	other	0	1	2.734
[88]	2	self	0	1	1.642
[91]	2	other	0	1	1.468
[94]	2	other	0	2	2.096
[97]	2	self	0	3	2.167
[100]	2	other	0	3	2.511
[103]	2	other	0	3	1.653
[106]	2	other	0	2	2.253
[109]	2	other	0	2	3.734
[112]	2	other	0	1	1.892
[115]	2	other	0	2	1.86
[118]	2	other	0	2	2.137
