onset	duration	trial_type	item	key	RT
[0]	2	self	0	0	0.0
[3]	2	other	0	1	3.523
[6]	2	self	0	3	2.378
[9]	2	other	0	3	2.873
[12]	2	other	0	3	2.656
[15]	2	self	0	1	2.237
[18]	2	other	0	1	3.305
[21]	2	other	0	4	1.741
[24]	2	self	0	2	3.094
[27]	2	self	0	2	3.316
[30]	2	self	0	1	3.344
[33]	2	self	0	1	2.271
[36]	2	other	0	2	2.599
[39]	2	self	0	1	3.245
[42]	2	self	0	3	3.081
[45]	2	other	0	2	2.83
[48]	2	other	0	4	2.957
[51]	2	other	0	3	1.876
[55]	2	self	0	3	2.795
[58]	2	self	0	1	2.311
[61]	2	self	0	2	2.79
[64]	2	self	0	2	1.96
[67]	2	other	0	3	2.366
[70]	2	other	0	3	2.185
[73]	2	other	0	2	2.444
[76]	2	other	0	2	2.535
[79]	2	self	0	2	1.757
[82]	2	self	0	3	2.421
[85]	2	self	0	2	3.33
[88]	2	self	0	1	1.545
[91]	2	other	0	2	3.056
[94]	2	self	0	3	2.249
[97]	2	self	0	2	2.15
[100]	2	other	0	3	3.022
[103]	2	self	0	2	1.837
[106]	2	other	0	2	3.147
[109]	2	other	0	2	2.838
[112]	2	other	0	3	1.686
[115]	2	self	0	3	2.845
[118]	2	other	0	3	3.298
