onset	duration	trial_type	item	key	RT
[0]	2	self	0	3	1.335
[3]	2	self	0	1	1.948
[6]	2	self	0	2	2.047
[9]	2	other	0	1	2.73
[12]	2	other	0	1	2.074
[15]	2	other	0	1	1.755
[18]	2	other	0	1	0.937
[21]	2	self	0	3	1.712
[24]	2	other	0	2	2.283
[27]	2	self	0	3	2.077
[30]	2	other	0	2	4.002
[33]	2	self	0	1	1.707
[36]	2	self	0	1	3.24
[39]	2	other	0	1	2.015
[42]	2	self	0	1	2.099
[45]	2	other	0	2	2.983
[48]	2	self	0	3	1.761
[51]	2	self	0	1	1.699
[55]	2	self	0	1	2.242
[58]	2	self	0	1	2.13
[61]	2	other	0	1	2.079
[64]	2	self	0	3	2.467
[67]	2	other	0	2	1.584
[70]	2	self	0	2	3.008
[73]	2	self	0	3	2.038
[76]	2	other	0	1	2.062
[79]	2	self	0	2	2.491
[82]	2	other	0	1	2.228
[85]	2	self	0	1	1.575
[88]	2	self	0	1	1.633
[91]	2	self	0	1	1.418
[94]	2	other	0	1	2.502
[97]	2	self	0	1	1.503
[100]	2	other	0	1	2.096
[103]	2	other	0	1	2.273
[106]	2	other	0	1	2.403
[109]	2	other	0	1	1.298
[112]	2	other	0	2	2.328
[115]	2	other	0	0	0.0
[118]	2	self	0	0	0.0
