onset	duration	trial_type	item	key	RT
[0]	2	self	0	2	3.589
[3]	2	other	0	4	2.249
[6]	2	other	0	1	2.125
[9]	2	self	0	1	2.108
[12]	2	other	0	1	3.147
[15]	2	self	0	3	1.854
[18]	2	self	0	2	2.842
[21]	2	self	0	3	2.958
[24]	2	self	0	2	1.477
[27]	2	other	0	2	3.189
[30]	2	other	0	1	2.059
[33]	2	self	0	1	2.426
[36]	2	self	0	1	1.405
[39]	2	other	0	1	2.451
[42]	2	self	0	1	1.644
[45]	2	other	0	1	3.239
[48]	2	other	0	2	2.749
[51]	2	other	0	1	1.656
[54]	2	self	0	1	1.766
[58]	2	self	0	2	1.719
[61]	2	self	0	1	2.442
[64]	2	other	0	1	2.313
[67]	2	self	0	1	2.099
[70]	2	other	0	1	2.261
[73]	2	other	0	1	2.6
[76]	2	self	0	1	1.92
[79]	2	other	0	1	2.064
[82]	2	other	0	1	2.15
[85]	2	self	0	2	2.23
[88]	2	self	0	2	2.363
[91]	2	other	0	2	3.318
[94]	2	self	0	1	1.762
[97]	2	other	0	1	1.84
[100]	2	other	0	1	1.809
[103]	2	self	0	1	2.223
[106]	2	self	0	1	1.624
[109]	2	other	0	1	2.35
[112]	2	other	0	3	3.01
[115]	2	self	0	1	1.456
[118]	2	self	0	2	2.447
