onset	duration	trial_type	item	key	RT
[0]	2	self	0	1	2.121
[3]	2	self	0	2	1.52
[6]	2	self	0	2	2.795
[9]	2	self	0	1	1.102
[12]	2	self	0	3	1.767
[15]	2	other	0	1	2.55
[18]	2	other	0	1	1.25
[21]	2	self	0	3	1.764
[24]	2	other	0	3	1.978
[27]	2	other	0	2	1.98
[30]	2	self	0	2	1.488
[33]	2	other	0	3	2.493
[36]	2	other	0	1	1.496
[39]	2	self	0	2	1.364
[42]	2	self	0	1	1.354
[45]	2	other	0	1	1.402
[48]	2	other	0	1	1.24
[51]	2	self	0	4	1.926
[55]	2	self	0	3	1.706
[58]	2	self	0	2	2.448
[61]	2	self	0	2	1.057
[64]	2	self	0	3	3.349
[67]	2	self	0	3	1.675
[70]	2	self	0	1	1.97
[73]	2	other	0	2	1.298
[76]	2	other	0	2	1.154
[79]	2	self	0	1	2.373
[82]	2	other	0	2	1.379
[85]	2	self	0	4	1.399
[88]	2	other	0	3	1.534
[91]	2	self	0	1	1.409
[94]	2	other	0	4	2.302
[97]	2	self	0	3	1.826
[100]	2	other	0	3	2.666
[103]	2	other	0	3	2.33
[106]	2	other	0	2	1.092
[109]	2	self	0	2	1.99
[112]	2	other	0	3	2.456
[115]	2	other	0	3	1.898
[118]	2	other	0	1	0.976
