onset	duration	trial_type	item	key	RT
[0]	2	self	0	1	2.143
[3]	2	self	0	3	2.233
[6]	2	self	0	3	1.681
[9]	2	self	0	4	2.426
[12]	2	self	0	1	1.293
[15]	2	other	0	1	1.6
[18]	2	other	0	1	2.154
[21]	2	self	0	1	1.936
[24]	2	other	0	1	2.172
[27]	2	other	0	1	1.412
[30]	2	other	0	1	1.673
[33]	2	self	0	1	1.433
[36]	2	other	0	1	1.523
[39]	2	other	0	2	2.239
[42]	2	other	0	1	1.793
[45]	2	self	0	0	0.0
[48]	2	self	0	1	2.48
[51]	2	other	0	1	1.659
[55]	2	self	0	1	1.702
[58]	2	other	0	1	1.779
[61]	2	self	0	3	1.959
[64]	2	other	0	4	2.512
[67]	2	other	0	3	1.902
[70]	2	self	0	1	1.457
[73]	2	other	0	2	2.254
[76]	2	self	0	3	2.285
[79]	2	self	0	2	2.604
[82]	2	self	0	1	2.478
[85]	2	other	0	3	3.552
[88]	2	self	0	2	2.281
[91]	2	self	0	1	2.431
[94]	2	other	0	1	2.139
[97]	2	self	0	1	1.462
[100]	2	other	0	1	2.25
[103]	2	other	0	0	0.0
[106]	2	self	0	1	1.634
[109]	2	other	0	2	2.02
[112]	2	other	0	1	1.612
[115]	2	self	0	1	1.377
[118]	2	self	0	3	2.991
