onset	duration	trial_type	item	key	RT
[0]	2	self	0	1	1.137
[3]	2	self	0	4	1.425
[6]	2	other	0	1	1.158
[9]	2	self	0	3	1.681
[12]	2	self	0	2	1.956
[15]	2	other	0	1	0.874
[18]	2	self	0	4	1.315
[21]	2	other	0	2	1.376
[24]	2	other	0	4	1.337
[27]	2	other	0	3	0.963
[30]	2	other	0	2	1.354
[33]	2	self	0	4	1.189
[36]	2	other	0	2	1.343
[39]	2	other	0	2	1.223
[42]	2	other	0	3	0.969
[45]	2	self	0	1	0.999
[48]	2	other	0	1	1.032
[51]	2	self	0	2	1.243
[55]	2	other	0	1	0.923
[58]	2	other	0	3	1.056
[61]	2	self	0	1	0.94
[64]	2	other	0	1	1.045
[67]	2	self	0	1	0.866
[70]	2	self	0	2	1.814
[73]	2	other	0	3	1.127
[76]	2	self	0	2	1.522
[79]	2	self	0	2	1.205
[82]	2	other	0	1	1.081
[85]	2	self	0	1	0.869
[88]	2	other	0	3	1.306
[91]	2	self	0	3	1.222
[94]	2	self	0	1	0.867
[97]	2	self	0	4	1.81
[100]	2	other	0	1	0.782
[103]	2	self	0	1	0.859
[106]	2	self	0	1	0.886
[109]	2	self	0	2	1.533
[112]	2	other	0	3	1.215
[115]	2	other	0	3	1.077
[118]	2	self	0	1	0.86
