onset	duration	trial_type	item	key	RT
[0]	2	self	0	1	1.772
[3]	2	self	0	1	1.279
[6]	2	other	0	1	1.639
[9]	2	self	0	1	1.66
[12]	2	other	0	2	2.471
[15]	2	self	0	4	1.853
[18]	2	other	0	3	1.745
[21]	2	self	0	1	1.603
[24]	2	other	0	1	1.656
[27]	2	other	0	1	1.314
[30]	2	self	0	1	1.665
[33]	2	other	0	1	1.676
[36]	2	self	0	3	2.455
[39]	2	other	0	1	1.501
[42]	2	other	0	1	2.843
[45]	2	other	0	3	3.41
[48]	2	self	0	3	2.424
[51]	2	self	0	1	1.609
[55]	2	self	0	1	1.302
[58]	2	self	0	1	2.01
[61]	2	self	0	1	2.42
[64]	2	self	0	2	2.193
[67]	2	other	0	1	2.484
[70]	2	self	0	2	1.518
[73]	2	other	0	2	3.514
[76]	2	other	0	3	2.414
[79]	2	other	0	3	3.546
[82]	2	self	0	1	1.933
[85]	2	self	0	2	2.418
[88]	2	other	0	1	1.697
[91]	2	other	0	1	1.506
[94]	2	other	0	0	0.0
[97]	2	self	0	1	1.942
[100]	2	self	0	3	2.153
[103]	2	self	0	1	2.433
[106]	2	self	0	2	2.128
[109]	2	other	0	1	1.898
[112]	2	self	0	1	2.092
[115]	2	other	0	3	1.715
[118]	2	other	0	1	3.467
