onset	duration	trial_type	item	key	RT
[0]	2	self	0	1	1.207
[3]	2	self	0	4	1.024
[6]	2	self	0	4	1.087
[9]	2	other	0	4	1.81
[12]	2	other	0	1	1.25
[15]	2	other	0	4	0.943
[18]	2	self	0	1	1.937
[21]	2	self	0	4	0.862
[24]	2	self	0	4	1.044
[27]	2	self	0	4	1.626
[30]	2	self	0	1	1.777
[33]	2	other	0	4	1.66
[36]	2	other	0	1	1.462
[39]	2	other	0	1	2.672
[42]	2	self	0	4	1.244
[45]	2	self	0	4	0.783
[48]	2	self	0	1	1.683
[51]	2	other	0	4	1.438
[54]	2	self	0	4	2.307
[58]	2	other	0	1	1.155
[61]	2	self	0	4	1.118
[64]	2	self	0	1	0.787
[67]	2	other	0	4	1.609
[70]	2	other	0	1	2.09
[73]	2	other	0	1	1.084
[76]	2	self	0	1	1.175
[79]	2	other	0	1	2.856
[82]	2	other	0	1	2.516
[85]	2	self	0	1	1.54
[88]	2	other	0	4	1.342
[91]	2	self	0	4	1.353
[94]	2	other	0	4	1.973
[97]	2	other	0	1	0.979
[100]	2	other	0	1	1.338
[103]	2	self	0	1	1.951
[106]	2	self	0	4	1.061
[109]	2	other	0	0	0.0
[112]	2	self	0	4	1.977
[115]	2	other	0	4	1.602
[118]	2	self	0	1	1.288
